addr:city:,shop:supermarket,15
addr:city:,shop:swimming_pool,1
addr:city:,shop:tailor,1
addr:city:,shop:tyres,1
addr:city:,shop:variety_store,1
addr:city:,shop:video,1
addr:city:,shop:wholesale,9
addr:city:,shop:yes,1
addr:city:,short_name:,16
addr:city:,smoking:,1
addr:city:,smoking:no,3
addr:city:,smoking:outside,1
addr:city:,social_facility:for:homeless,1
addr:city:,social_facility:shelter,1
addr:city:,sport:climbing,1
addr:city:,sport:golf,3
addr:city:,sport:karate,1
addr:city:,sport:swimming,1
addr:city:,sport:yoga,2
addr:city:,start_date:,618
addr:city:,takeaway:yes,49
addr:city:,telecom:exchange,1
addr:city:,toilets:,2
addr:city:,toilets:access:,1
addr:city:,toilets:access:customers,2
addr:city:,toilets:handwashing:,2
addr:city:,toilets:paper_supplied:,2
addr:city:,toilets:wheelchair:,4
addr:city:,toilets:yes,3
addr:city:,tourism:hotel,5
addr:city:,tourism:museum,1
addr:city:,url:,1
addr:city:,website:,184
addr:city:,website:menu:,1
addr:city:,wheelchair:limited,2
addr:city:,wheelchair:yes,46
addr:city:,wikidata:,22
addr:city:,wikimedia_commons:,1
addr:city:,wikipedia:,15
addr:country:,addr:full:,3
addr:country:,addr:housenumber:,82
addr:country:,addr:postcode:,78
addr:country:,addr:state:CA,77
addr:country:,addr:state:NC,5
addr:country:,addr:street:,82
addr:country:,addr:unit:,1
addr:country:,aeroway:aerodrome,6
addr:country:,air_conditioning:,1
addr:country:,alt_name:,2
addr:country:,amenity:,1
addr:country:,amenity:bank,1
addr:country:,amenity:cafe,3
addr:country:,amenity:dentist,1
addr:country:,amenity:fast_food,4
addr:country:,amenity:fire_station,3
addr:country:,amenity:hospital,1
addr:country:,amenity:pharmacy,1
addr:country:,amenity:place_of_worship,1
addr:country:,amenity:restaurant,3
addr:country:,amenity:school,3
addr:country:,atm:yes,1
addr:country:,bar:,1
addr:country:,beds:,1
addr:country:,branch:,4
addr:country:,brand:,12
addr:country:,brand:website:,2
addr:country:,brand:wikidata:,12
addr:country:,brand:wikipedia:,1
addr:country:,building:commercial,1
addr:country:,building:fire_station,2
addr:country:,building:hotel,1
