size,dataset,model,best_mae,training_time,lr,lr_min,weight_decay,date,config
small,building_count,geojepa_gt_300e_small_b-GT-MLP,5.390524387359619,2m 17s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/building_count/geojepa_gt_300e_small_b/geojepa_gt_300e_small_b_mlpr/hydra/config.yaml
small,building_count,geojepa_gti_300e-GTI-MLP,5.515426158905029,1m 54s,,,,2025-01-16,remote-logs/logs/pytorch/2025-01-16/building_count/geojepa_gti_300e/geojepa_gti_300e_mlpr/hydra/config.yaml
small,building_count,geojepa_ti_jan14_300e-TI-MLP,5.533742427825928,2m 22s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/building_count/geojepa_ti_jan14_300e/geojepa_ti_jan14_300e_mlpr/hydra/config.yaml
small,building_count,geojepa_gt_300e-GT-MLP,5.9552531242370605,2m 19s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/building_count/geojepa_gt_300e/geojepa_gt_300e_mlpr/hydra/config.yaml
small,building_count,TagformerLMAE-MLP,6.8597798347473145,1m 42s,,,,2025-01-20,remote-logs/logs/pytorch/2025-01-20/building_count/tagformer_lmae_100e/tagformer_lmae_100e_mlpr/hydra/config.yaml
small,building_count,geojepa_t_e3-T-MLP,7.008121013641357,2m 17s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/building_count/geojepa_t_e3/geojepa_t_e3_mlpr/hydra/config.yaml
small,building_count,geojepa_t_e2-T-MLP,7.901110649108887,2m 18s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/building_count/geojepa_t_e2/geojepa_t_e2_mlpr/hydra/config.yaml
small,building_count,geojepa_t_e1-T-MLP,8.298194885253906,2m 19s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/building_count/geojepa_t_e1/geojepa_t_e1_mlpr/hydra/config.yaml
small,building_count,geojepa_t_300e_jan13-T-MLP,8.822603225708008,2m 58s,,,,2025-01-13,remote-logs/logs/pytorch/2025-01-13/building_count/geojepa_t_300e_jan13/geojepa_t_300e_jan13_mlpr/hydra/config.yaml
small,building_count,geojepa_t_jan12_150e-T-MLP,9.308537483215332,2m 15s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/building_count/geojepa_t_jan12_150e/geojepa_t_jan12_150e_mlpr/hydra/config.yaml
small,building_count,TagPool-MLP,9.388497352600098,2m 43s,,,,2025-01-13,remote-logs/logs/pytorch/2025-01-13/building_count/entity_tag_avg/entity_tag_avg_mlpr/hydra/config.yaml
small,building_count,geojepa_ti_jan12_100e-TI-LIN,12.547064781188965,2m 13s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/building_count/geojepa_ti_jan12_100e/geojepa_ti_jan12_100e_linr/hydra/config.yaml
small,building_count,geojepa_gti_300e-GTI-LIN,15.32177734375,2m 19s,,,,2025-01-16,remote-logs/logs/pytorch/2025-01-16/building_count/geojepa_gti_300e/geojepa_gti_300e_linr/hydra/config.yaml
small,building_count,geojepa_gti_170e-GTI-LIN,15.367782592773438,2m 16s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/building_count/geojepa_gti_170e/geojepa_gti_170e_linr/hydra/config.yaml
small,building_count,geojepa_ti_jan14_300e-TI-LIN,15.648270606994629,2m 26s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/building_count/geojepa_ti_jan14_300e/geojepa_ti_jan14_300e_linr/hydra/config.yaml
small,building_count,TagAE-LIN,19.685754776000977,3m 18s,,,,2025-01-09,remote-logs/logs/pytorch/2025-01-09/building_count/tag_ae_dec_28/tag_ae_dec_28_linr/hydra/config.yaml
small,building_count,geojepa_gt_300e_small_b-GT-LIN,20.45473289489746,2m 18s,,,,2025-01-20,remote-logs/logs/pytorch/2025-01-20/building_count/geojepa_gt_300e_small_b/geojepa_gt_300e_small_b_linr/hydra/config.yaml
small,building_count,geojepa_t_e3-T-LIN,20.953081130981445,2m 13s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/building_count/geojepa_t_e3/geojepa_t_e3_linr/hydra/config.yaml
small,building_count,geojepa_gt_300e-GT-LIN,21.212907791137695,2m 15s,,,,2025-01-20,remote-logs/logs/pytorch/2025-01-20/building_count/geojepa_gt_300e/geojepa_gt_300e_linr/hydra/config.yaml
small,building_count,AG-97M-600s,21.468278884887695,11m 59s,,,,2025-01-09,remote-logs/ag-logs/eval/2025-01-09/building_count/high-600s/hydra/config.yaml
small,building_count,geojepa_t_e1-T-LIN,22.234262466430664,2m 15s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/building_count/geojepa_t_e1/geojepa_t_e1_linr/hydra/config.yaml
small,building_count,TagformerLMAE-LIN,22.336410522460938,2m 4s,,,,2025-01-20,remote-logs/logs/pytorch/2025-01-20/building_count/tagformer_lmae_100e/tagformer_lmae_100e_linr/hydra/config.yaml
small,building_count,geojepa_t_300e_jan13-T-LIN,22.928274154663086,2m 37s,,,,2025-01-13,remote-logs/logs/pytorch/2025-01-13/building_count/geojepa_t_300e_jan13/geojepa_t_300e_jan13_linr/hydra/config.yaml
small,building_count,geojepa_t_jan12_150e-T-LIN,24.01419448852539,2m 11s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/building_count/geojepa_t_jan12_150e/geojepa_t_jan12_150e_linr/hydra/config.yaml
small,building_count,ScaleMAE-MLP,24.436311721801758,4m 18s,,,,2025-01-09,remote-logs/logs/pytorch/2025-01-09/building_count/scalemae/scalemae_mlpr/hydra/config.yaml
small,building_count,TagPool-LIN,25.93672752380371,2m 40s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/building_count/entity_tag_avg/entity_tag_avg_linr/hydra/config.yaml
small,building_count,AG-4M-900s,26.57091522216797,15m 34s,,,,2025-01-09,remote-logs/ag-logs/eval/2025-01-09/building_count/medium-900s/hydra/config.yaml
small,building_count,geojepa_t_e2-T-LIN,26.9926815032959,2m 13s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/building_count/geojepa_t_e2/geojepa_t_e2_linr/hydra/config.yaml
small,building_count,ViT-B/16-MLP,28.339359283447266,2m 37s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/building_count/vitb16/vitb16_mlpr/hydra/config.yaml
small,building_count,ScaleMAE-LIN,29.36968421936035,3m 40s,,,,2025-01-09,remote-logs/logs/pytorch/2025-01-09/building_count/scalemae/scalemae_linr/hydra/config.yaml
small,building_count,GPT-4o,29.919799498746865,,,,,2025-01-08,remote-logs/eval_gpt/gpt_small/4o/building_count/hydra/config.yaml
small,building_count,AG-4M-600s,30.023786544799805,10m 34s,,,,2025-01-09,remote-logs/ag-logs/eval/2025-01-09/building_count/medium-600s/hydra/config.yaml
small,building_count,ViT-B/16-LIN,32.23971176147461,2m 31s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/building_count/vitb16/vitb16_linr/hydra/config.yaml
small,building_count,GPT-4o-mini,36.94235588972431,,,,,2025-01-08,remote-logs/eval_gpt/gpt_small/4o-mini/building_count/hydra/config.yaml
small,building_count,cheat_tagformer_ae-LIN,38.42430114746094,2m 4s,,,,2025-01-15,remote-logs/logs/pytorch/2025-01-15/building_count/tagformer_ae/tagformer_ae_linr/hydra/config.yaml
small,building_count,EfficientNet-LIN,38.425113677978516,2m 53s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/building_count/efficientnet/efficientnet_linr/hydra/config.yaml
small,building_count,ResNet-LIN,38.427494049072266,3m 11s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/building_count/resnet/resnet_linr/hydra/config.yaml
small,building_count,EfficientNet-MLP,38.436100006103516,3m 0s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/building_count/efficientnet/efficientnet_mlpr/hydra/config.yaml
small,building_count,ResNet-MLP,38.436317443847656,3m 18s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/building_count/resnet/resnet_mlpr/hydra/config.yaml
small,building_count,cheat_tagformer_ae-MLP,38.44340133666992,0m 33s,,,,2025-01-15,remote-logs/logs/pytorch/2025-01-15/building_count/tagformer_ae/tagformer_ae_mlpr/hydra/config.yaml
small,building_count,Dummy,45.14,,,,,2025-01-12,remote-logs/baselines/building_count/hydra/config.yaml
small,car_bridge,Tagformer-S,0.010828740894794464,5m 48s,0.003232,1.92079e-05,0.002788918,2025-01-09,remote-logs/logs/train/2025-01-09/21-30-19_tagformer_car_bridge_cheat/hydra/config.yaml
small,car_bridge,TagPool-MLP,0.06976743787527084,1m 1s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/car_bridge/entity_tag_avg/entity_tag_avg_mlpc/hydra/config.yaml
